Keywords,Utterance,Response
"hello, hi, greet, welcome","hello, hi, hey, good morning, good afternoon, greetings",Hello! Welcome to Colti Support. How can I assist you with your vehicle today?
"hello, hi, greet","hey there, what's up, howdy","Hey! Great to have you here. Whether it's sales, service, or support — I'm ready to help!"
"start, begin, help","i need help, can you help me, i have a question",Of course! I'm here to help. What would you like to know about our vehicles or services?
"price, cost, how much","how much does the car cost, what is the price, pricing",Our vehicle prices vary by model. Please visit our website or speak with a sales agent for the latest pricing and offers.
"price, cost, budget","i have a budget of, affordable car, cheapest model",We have a range of vehicles to suit different budgets. Let us know your budget and we'll find the best fit for you!
"offer, deal, discount, promotion","any discounts available, current offers, promotions",We run seasonal promotions! Check our website or contact our sales team for current deals and offers.
"finance, loan, installment, payment","can i finance a car, monthly payment, installment plan",Yes! We offer flexible financing options. Our team can tailor a payment plan to suit your needs.
"trade-in, exchange, old car","can i trade in my old car, swap my vehicle",Absolutely! We accept trade-ins. Bring your vehicle for a free evaluation and we'll apply the value toward your new purchase.
"test drive, try, demo","can i test drive, book a test drive, i want to try the car",We'd love to set up a test drive for you! Visit our showroom or book online at your convenience.
"new car, latest model, new arrival","what new cars do you have, latest models available",We have exciting new arrivals in our lineup! Visit our showroom or website to explore the latest models.
"SUV, crossover","do you sell SUVs, i want an SUV, best SUV","Yes, we carry a great selection of SUVs perfect for families and off-road adventures. Would you like to see our available models?"
"sedan, saloon","do you have sedans, best sedan, looking for a sedan","Our sedan lineup offers style, comfort, and fuel efficiency. Let us help you find the perfect one!"
"truck, pickup, bakkie","do you sell trucks, pickup truck, i need a truck",We have powerful and reliable trucks for work or leisure. What will you be using it for?
"electric, EV, hybrid, eco","do you have electric cars, hybrid vehicles, eco-friendly",Yes! We offer electric and hybrid vehicles for environmentally conscious drivers. Great savings on fuel too!
"luxury, premium, high-end","luxury car, premium vehicle, top of the range",Our premium range offers cutting-edge technology and unmatched comfort. Let us give you an exclusive tour!
"van, minibus, MPV","do you have vans, minibus, family van",We carry commercial vans and MPVs ideal for large families or business use. What capacity do you need?
"sports car, fast car","do you have sports cars, fast vehicles, performance car",Our sports lineup is designed for performance enthusiasts. Visit us to experience the thrill firsthand!
"service, maintenance, check-up","when should i service my car, maintenance schedule","We recommend servicing every 10,000 km or 6 months, whichever comes first. Book a service appointment with us!"
"oil change, oil service","when to change oil, oil change service","Engine oil should typically be changed every 5,000–10,000 km depending on your vehicle. Our service team can check this for you."
